Age,CGPA,Attendance,10th_Percentage,12th_Percentage,Backlogs,Internship,Projects,Communication_Score,Aptitude_Score,Placement_Status,Gender_Female,Gender_Male,Department_CE,Department_CSE,Department_ECE,Department_EEE,Department_IT,Department_ME
24,7.0,77.77,78.81,83.98,1,0,2,48,82,0,1,0,0,0,0,1,0,0
22,5.89,57.06,72.33,85.31,4,0,4,50,40,0,0,1,0,0,1,0,0,0
20,5.01,69.36,83.29,92.42,0,0,3,55,94,0,0,1,0,0,0,0,1,0
23,9.27,72.35,91.68,76.82,2,0,1,68,67,1,0,1,0,0,1,0,0,0
21,8.58,99.26,64.12,82.45,0,0,4,75,73,1,1,0,0,1,0,0,0,0
23,8.45,67.57,55.38,60.15,4,1,2,54,87,0,1,0,0,0,0,0,1,0
21,7.73,82.23,71.65,86.84,1,1,3,98,42,1,0,1,0,0,0,1,0,0
21,8.5,56.87,60.73,91.92,0,0,5,78,99,1,1,0,1,0,0,0,0,0
23,9.68,53.27,71.48,79.69,1,1,0,41,88,1,1,0,1,0,0,0,0,0
24,8.33,93.58,99.55,55.78,3,1,5,49,42,1,1,0,0,0,0,0,0,1
21,6.33,86.54,78.71,65.64,2,0,3,88,50,0,1,0,0,0,0,0,1,0
21,7.85,65.87,84.68,73.78,4,1,3,50,43,0,1,0,0,0,0,1,0,0
23,7.21,75.23,83.9,83.86,4,1,4,69,69,1,0,1,0,0,0,0,1,0
21,7.78,56.79,91.04,66.02,1,1,3,62,78,1,1,0,0,0,0,0,1,0
21,7.59,85.36,97.21,92.01,2,0,0,61,93,0,0,1,1,0,0,0,0,0
23,9.29,53.52,82.94,68.59,4,1,5,90,71,1,1,0,0,0,1,0,0,0
23,8.26,87.85,73.8,52.14,0,0,4,81,55,1,1,0,0,1,0,0,0,0
20,5.94,77.34,65.89,89.7,4,1,2,75,56,0,0,1,0,0,0,0,0,1
24,5.32,63.94,68.01,82.21,0,0,0,68,50,0,0,1,0,0,0,1,0,0
24,7.12,93.13,66.72,90.1,4,1,4,84,75,1,1,0,0,0,0,0,1,0
21,5.08,99.3,66.22,67.44,0,0,4,71,71,0,0,1,0,0,0,0,0,1
24,6.59,62.72,84.73,50.88,3,0,1,72,96,0,1,0,0,0,0,0,1,0
21,6.84,90.31,79.39,53.69,1,0,0,78,74,0,0,1,1,0,0,0,0,0
20,6.88,87.51,60.1,55.59,3,0,3,48,93,0,0,1,0,1,0,0,0,0
23,9.9,87.36,98.48,90.26,0,0,0,40,66,1,1,0,1,0,0,0,0,0
23,6.52,97.86,71.39,65.07,1,1,0,57,87,0,1,0,0,0,0,0,0,1
23,6.33,74.33,78.3,99.89,2,0,1,89,73,0,1,0,0,0,0,1,0,0
24,5.65,83.71,85.13,87.92,0,0,3,87,44,0,0,1,0,0,0,0,1,0
20,7.56,91.19,80.68,80.06,4,0,5,61,64,0,1,0,0,1,0,0,0,0
24,5.77,73.98,65.55,99.18,4,1,1,87,67,0,1,0,1,0,0,0,0,0
24,8.08,74.07,89.89,65.82,2,1,1,76,57,1,1,0,0,0,0,0,0,1
20,5.78,65.93,55.51,58.28,3,1,1,53,42,0,1,0,1,0,0,0,0,0
20,7.88,89.04,78.45,86.86,0,1,0,61,67,1,1,0,0,0,0,0,1,0
20,9.13,84.31,63.67,63.9,4,0,5,72,41,1,0,1,0,0,0,0,1,0
20,5.21,72.56,80.79,98.05,1,1,1,45,73,0,0,1,0,0,0,1,0,0
23,7.1,70.97,60.9,99.4,2,1,2,66,61,0,1,0,0,1,0,0,0,0
22,7.31,53.63,88.61,96.32,3,0,3,45,61,0,0,1,0,0,1,0,0,0
22,8.96,50.33,61.38,97.24,3,0,5,94,92,1,1,0,1,0,0,0,0,0
20,7.34,76.44,94.52,80.78,1,0,3,83,69,1,0,1,0,0,0,0,1,0
22,7.84,70.87,93.08,84.61,1,1,5,89,73,1,1,0,0,0,0,0,0,1
22,8.96,89.8,68.12,54.71,2,1,1,93,87,1,1,0,1,0,0,0,0,0
20,7.8,77.13,69.29,88.15,1,1,5,80,40,1,0,1,0,0,0,1,0,0
22,6.79,96.84,85.08,60.1,4,1,0,55,68,0,0,1,0,0,0,1,0,0
24,5.43,59.81,54.52,92.02,3,1,5,86,100,0,0,1,0,0,0,0,1,0
21,8.65,99.51,54.05,98.08,1,1,4,96,58,1,1,0,0,0,0,0,1,0
21,9.36,64.9,56.82,60.62,0,0,4,41,58,1,1,0,0,0,0,0,1,0
20,9.85,82.12,78.12,53.9,1,1,0,76,80,1,0,1,0,0,1,0,0,0
23,9.63,75.09,57.45,74.19,3,1,1,68,91,1,1,0,0,0,0,0,1,0
20,8.99,67.98,63.88,89.58,4,0,1,62,80,0,0,1,1,0,0,0,0,0
23,8.22,56.97,82.35,88.53,1,0,2,60,68,1,0,1,1,0,0,0,0,0
21,8.91,56.74,50.78,84.84,4,1,4,52,82,1,1,0,0,1,0,0,0,0
20,7.16,85.58,59.01,91.03,0,1,4,90,72,1,0,1,0,0,0,0,0,1
24,7.97,68.88,96.5,58.75,3,0,3,40,90,0,0,1,0,0,0,0,1,0
22,6.74,98.06,83.18,82.6,2,1,1,68,56,0,0,1,1,0,0,0,0,0
23,6.63,66.28,65.28,80.28,3,0,0,87,77,0,0,1,1,0,0,0,0,0
22,8.78,99.18,52.27,57.67,2,0,1,46,40,0,0,1,1,0,0,0,0,0
22,7.27,60.27,79.3,70.72,2,1,1,70,89,0,0,1,0,0,1,0,0,0
20,6.06,55.14,61.14,92.63,3,0,2,84,80,0,1,0,0,0,0,0,0,1
22,6.01,65.63,98.01,98.59,2,0,5,95,98,1,0,1,0,0,0,1,0,0
24,9.3,94.28,84.35,83.27,4,0,5,61,72,1,0,1,1,0,0,0,0,0
22,8.39,76.09,98.71,96.1,0,1,0,55,75,1,0,1,0,0,0,0,1,0
20,7.73,56.78,92.44,56.6,1,0,2,67,61,0,0,1,1,0,0,0,0,0
24,7.0,60.12,74.15,98.75,2,0,2,83,57,0,1,0,0,0,0,0,0,1
21,7.15,65.56,83.48,51.68,2,0,2,78,56,0,1,0,0,0,0,1,0,0
22,5.29,79.51,90.61,76.36,3,0,5,64,71,0,0,1,0,0,1,0,0,0
20,7.27,66.62,78.91,64.55,4,1,2,53,59,0,1,0,0,1,0,0,0,0
21,8.98,87.35,53.07,90.7,1,1,1,89,90,1,1,0,0,0,0,0,1,0
21,6.94,80.81,73.52,60.88,2,1,5,60,94,1,1,0,0,1,0,0,0,0
23,6.92,93.69,56.53,50.58,4,1,5,58,62,0,0,1,0,0,1,0,0,0
24,5.08,75.05,85.74,70.73,1,1,3,99,67,0,0,1,0,0,0,0,0,1
22,7.29,66.56,84.03,53.21,3,1,1,52,85,0,0,1,0,0,0,0,0,1
20,5.13,99.81,99.65,64.5,2,1,2,41,65,0,1,0,0,0,1,0,0,0
23,7.85,67.78,81.44,82.19,3,0,2,90,98,0,0,1,1,0,0,0,0,0
24,7.53,71.43,90.01,64.74,3,0,3,75,46,0,1,0,0,0,1,0,0,0
23,9.2,90.46,63.41,62.29,2,0,4,53,80,1,0,1,0,0,0,0,1,0
24,7.91,54.43,67.0,57.77,4,0,0,73,96,0,0,1,0,0,0,1,0,0
24,6.62,69.32,95.85,56.76,4,1,2,57,59,0,1,0,0,1,0,0,0,0
22,7.58,54.29,87.76,76.29,3,0,2,63,80,0,0,1,0,1,0,0,0,0
24,8.5,56.97,82.76,84.08,3,0,1,69,86,0,0,1,0,0,0,0,0,1
23,5.47,50.23,62.7,72.64,0,0,2,90,50,0,1,0,1,0,0,0,0,0
24,8.11,50.48,84.93,56.18,1,1,2,58,46,1,1,0,0,0,0,0,0,1
22,9.58,69.01,94.34,82.39,3,0,0,75,77,1,1,0,0,0,0,0,1,0
22,6.5,90.46,61.54,77.86,3,0,1,98,66,0,1,0,0,0,1,0,0,0
23,8.13,79.35,85.31,69.06,1,0,4,60,48,1,1,0,0,1,0,0,0,0
21,9.11,81.75,69.68,66.5,2,1,2,58,43,1,1,0,0,0,0,0,1,0
21,7.56,75.96,55.94,59.16,4,0,2,93,88,0,0,1,0,0,0,0,0,1
24,8.59,90.99,88.17,57.31,2,0,4,65,77,1,0,1,0,0,0,0,0,1
20,6.56,94.02,58.36,66.94,1,0,3,74,68,0,0,1,0,1,0,0,0,0
24,6.53,92.49,62.64,52.08,1,0,4,79,88,1,0,1,0,0,0,0,0,1
23,8.34,90.61,89.15,71.83,0,1,4,43,65,1,1,0,1,0,0,0,0,0
23,8.53,59.14,87.11,80.08,0,1,1,60,64,1,1,0,0,0,0,0,0,1
23,9.69,79.69,62.71,97.08,4,1,5,42,53,1,1,0,0,0,0,1,0,0
23,6.12,79.11,97.05,81.29,3,1,4,44,76,0,0,1,0,0,1,0,0,0
23,7.34,76.4,60.76,81.2,1,1,1,82,89,1,1,0,0,0,0,0,0,1
22,6.25,74.04,99.68,68.72,0,1,5,68,67,1,0,1,0,0,0,1,0,0
21,5.4,54.46,86.89,56.67,2,1,4,94,47,0,1,0,0,0,0,0,1,0
23,7.02,55.11,69.63,72.35,0,0,2,58,81,0,1,0,0,0,0,0,0,1
20,6.87,95.11,56.52,79.93,2,0,2,90,50,0,0,1,1,0,0,0,0,0
20,6.35,81.51,66.03,86.2,0,1,5,56,93,1,0,1,0,0,0,0,1,0
20,6.48,63.12,59.69,91.3,2,1,3,73,100,1,0,1,0,0,0,0,0,1
20,6.8,63.97,81.09,62.8,0,0,5,59,74,1,1,0,0,1,0,0,0,0
22,9.94,80.51,67.84,62.06,0,0,4,67,98,1,1,0,0,0,0,1,0,0
20,8.91,70.35,64.75,78.26,4,1,0,48,70,0,1,0,0,0,0,1,0,0
23,5.36,72.07,87.86,78.3,3,0,4,42,73,0,0,1,0,1,0,0,0,0
24,9.36,53.03,61.53,60.9,1,1,5,49,97,1,0,1,0,0,1,0,0,0
20,8.17,56.94,79.34,79.37,3,0,0,60,98,0,1,0,1,0,0,0,0,0
22,9.45,69.67,59.73,67.29,4,0,5,80,85,1,1,0,0,0,0,1,0,0
22,6.71,84.98,85.74,81.97,2,1,4,91,75,1,0,1,0,0,0,0,1,0
20,7.32,52.4,81.26,64.55,3,0,1,43,56,0,0,1,1,0,0,0,0,0
24,9.48,66.73,89.91,79.61,1,1,2,61,88,1,1,0,0,0,0,1,0,0
20,6.36,84.75,53.42,88.42,1,0,0,46,60,0,0,1,0,0,1,0,0,0
22,9.58,89.6,60.51,99.01,2,0,0,51,65,1,0,1,0,0,0,0,1,0
21,9.14,59.51,57.72,95.55,1,0,4,50,80,1,0,1,1,0,0,0,0,0
23,9.9,86.57,59.53,75.18,4,1,2,61,67,1,0,1,0,0,0,0,1,0
22,6.62,97.77,55.15,74.42,3,0,3,68,92,0,1,0,0,1,0,0,0,0
20,6.18,95.34,78.1,71.89,1,0,0,100,61,0,1,0,0,0,0,0,0,1
23,6.65,89.47,79.67,51.39,3,0,2,100,97,0,1,0,0,1,0,0,0,0
20,9.77,85.62,92.17,58.3,0,1,2,66,80,1,0,1,1,0,0,0,0,0
20,6.67,61.76,70.89,52.96,3,1,0,86,42,0,0,1,0,0,0,0,0,1
21,7.83,81.7,76.62,84.82,2,0,1,59,67,0,0,1,0,1,0,0,0,0
23,7.02,82.16,99.57,70.66,4,0,5,53,75,0,0,1,0,0,0,0,0,1
23,6.98,70.34,76.59,53.19,1,1,1,46,41,0,1,0,0,0,0,1,0,0
21,5.97,74.65,78.68,84.53,4,0,4,54,85,0,0,1,0,0,0,0,1,0
22,7.69,84.7,99.8,82.22,3,1,5,85,59,1,0,1,0,0,0,0,0,1
20,9.25,97.61,99.71,86.0,1,1,5,67,79,1,0,1,0,0,0,1,0,0
24,5.25,64.77,71.2,79.99,4,1,4,82,89,0,0,1,0,0,1,0,0,0
20,9.45,62.32,81.75,58.08,2,0,2,49,75,1,0,1,0,1,0,0,0,0
20,8.33,80.09,74.04,53.07,0,0,0,90,47,0,0,1,0,0,1,0,0,0
22,8.08,56.54,86.04,90.86,0,0,1,42,78,1,1,0,1,0,0,0,0,0
20,8.13,79.13,96.92,60.79,2,1,2,51,64,1,0,1,0,0,0,1,0,0
21,6.48,54.44,65.48,77.13,0,0,1,52,54,0,0,1,0,0,1,0,0,0
21,7.08,74.53,90.94,74.26,2,1,0,78,69,0,1,0,0,0,1,0,0,0
23,9.0,81.02,82.74,96.05,3,1,1,83,86,1,1,0,0,0,0,1,0,0
24,6.53,53.51,64.01,77.62,2,1,3,93,73,0,1,0,0,0,0,0,1,0
20,7.35,60.35,89.86,79.0,0,1,4,73,43,1,1,0,0,0,0,0,0,1
20,5.1,66.77,71.36,65.98,3,0,5,40,96,0,0,1,1,0,0,0,0,0
22,8.67,68.43,56.02,97.93,2,0,1,77,61,0,0,1,1,0,0,0,0,0
21,7.09,83.81,99.67,80.62,2,0,0,64,64,0,0,1,0,1,0,0,0,0
24,7.63,76.45,71.28,50.25,3,1,0,58,48,0,1,0,0,0,0,0,0,1
23,5.57,69.11,77.08,77.8,1,1,3,64,62,0,1,0,0,1,0,0,0,0
21,9.96,72.53,90.4,68.19,0,1,0,45,78,1,0,1,1,0,0,0,0,0
23,6.51,50.65,98.04,51.61,1,1,3,84,95,1,0,1,0,0,0,0,0,1
22,8.17,88.53,93.64,71.58,3,0,2,43,89,0,1,0,0,0,1,0,0,0
22,7.91,52.05,76.25,88.68,3,1,1,65,97,0,0,1,0,0,0,0,1,0
20,8.93,91.47,77.28,75.19,4,0,0,65,51,0,1,0,0,0,1,0,0,0
24,6.47,77.05,64.04,81.97,4,1,4,65,53,0,1,0,0,0,0,0,1,0
23,8.78,76.39,73.14,81.99,3,1,1,53,46,0,1,0,0,0,0,1,0,0
21,6.91,85.23,97.34,83.55,4,1,3,71,70,0,1,0,0,1,0,0,0,0
22,7.06,92.98,86.35,69.38,2,0,1,87,45,0,1,0,0,1,0,0,0,0
20,8.36,97.13,50.59,68.5,1,1,1,67,62,1,0,1,0,0,0,1,0,0
20,8.92,77.17,55.83,50.23,3,0,0,100,93,0,1,0,0,0,0,0,0,1
23,8.33,57.53,96.19,57.71,2,1,4,41,98,1,1,0,0,0,0,1,0,0
22,9.5,93.93,92.44,97.54,0,1,2,80,58,1,0,1,1,0,0,0,0,0
24,6.43,52.03,74.31,92.12,0,0,4,84,60,1,0,1,0,0,0,1,0,0
22,9.5,90.37,80.85,63.76,4,1,5,60,58,1,0,1,0,0,0,0,1,0
23,5.65,84.02,64.48,70.06,4,1,3,85,93,0,0,1,1,0,0,0,0,0
23,8.3,95.24,89.64,97.0,2,0,5,53,86,1,1,0,0,0,0,1,0,0
22,7.74,94.87,80.17,62.52,0,1,4,76,58,1,1,0,0,1,0,0,0,0
23,7.47,52.66,84.74,76.63,3,0,4,41,83,0,0,1,0,0,1,0,0,0
22,6.55,80.47,68.75,51.1,1,1,3,44,73,0,0,1,0,0,0,0,1,0
21,7.52,56.23,71.52,80.99,4,1,4,77,82,0,1,0,0,0,0,0,1,0
22,5.81,53.92,60.38,96.5,2,1,2,41,52,0,0,1,0,0,0,0,0,1
22,6.85,72.41,97.4,94.24,4,0,1,40,75,0,0,1,0,0,1,0,0,0
23,5.49,54.88,97.33,75.1,2,0,2,87,64,0,1,0,0,0,0,0,1,0
23,7.86,86.4,90.89,82.48,0,0,5,61,72,1,0,1,0,0,0,1,0,0
20,5.48,98.45,96.78,78.49,4,0,1,80,95,0,0,1,0,0,0,0,1,0
20,5.8,78.48,83.27,53.35,2,1,1,64,60,0,0,1,0,0,0,0,1,0
21,5.43,61.76,61.73,57.94,2,1,4,85,73,0,0,1,0,0,0,0,1,0
20,6.91,92.16,88.01,98.19,4,1,1,69,85,0,1,0,0,0,0,0,0,1
22,9.21,92.66,66.26,62.8,1,0,3,48,64,1,0,1,0,0,0,0,1,0
23,9.53,86.64,72.02,69.22,3,0,2,100,57,1,0,1,0,0,0,0,1,0
20,5.36,80.76,63.72,75.45,0,1,1,76,82,0,1,0,0,0,0,0,0,1
20,8.17,93.39,71.18,98.96,4,1,4,86,50,1,1,0,1,0,0,0,0,0
21,8.42,58.16,83.97,84.5,4,0,4,49,58,0,0,1,0,0,1,0,0,0
21,7.67,96.58,55.53,81.48,1,0,4,54,88,1,0,1,1,0,0,0,0,0
22,8.33,97.36,55.26,76.22,0,0,0,88,88,1,1,0,0,1,0,0,0,0
23,6.17,93.6,84.19,85.03,4,1,2,42,73,0,0,1,0,0,0,0,0,1
21,7.45,62.53,88.98,83.2,1,0,4,47,41,1,0,1,0,0,0,0,0,1
20,6.95,92.91,77.57,95.14,3,0,3,64,69,0,1,0,0,0,0,0,1,0
23,5.45,74.88,59.08,77.09,2,1,4,75,84,0,1,0,0,0,0,0,1,0
23,8.13,79.75,71.54,71.08,3,0,0,82,77,0,1,0,0,1,0,0,0,0
20,7.48,92.03,87.91,90.36,3,1,2,99,54,1,1,0,0,0,0,0,1,0
21,6.38,51.48,84.29,89.99,3,1,1,90,50,0,1,0,0,0,0,1,0,0
20,7.37,68.15,55.49,58.49,3,0,2,85,63,0,0,1,0,0,0,0,1,0
23,8.88,90.78,98.46,61.84,2,0,1,89,99,1,1,0,0,0,0,0,1,0
24,9.01,90.7,61.17,97.93,0,1,1,60,43,1,0,1,0,0,0,1,0,0
24,8.25,92.43,61.02,72.21,0,1,4,73,58,1,0,1,0,1,0,0,0,0
22,7.34,58.46,72.99,75.98,1,0,5,66,68,1,1,0,0,0,0,1,0,0
20,7.88,85.29,66.36,65.51,1,1,3,48,53,1,1,0,0,0,0,0,0,1
20,6.93,57.33,99.2,74.05,4,1,3,49,89,0,0,1,0,0,0,1,0,0
22,5.63,89.25,53.82,87.17,3,1,5,66,56,0,1,0,0,0,1,0,0,0
22,6.93,62.26,65.32,74.12,3,0,4,64,47,0,0,1,0,0,0,0,0,1
22,7.65,86.89,69.14,65.74,2,1,0,52,52,0,0,1,0,0,0,0,1,0
23,7.99,72.75,74.67,54.8,3,0,1,90,62,0,0,1,0,0,0,0,0,1
20,9.68,99.31,50.82,96.41,2,1,5,43,68,1,1,0,0,1,0,0,0,0
23,8.89,78.99,54.12,93.58,4,0,3,99,86,1,1,0,0,1,0,0,0,0
22,5.76,81.63,62.89,89.57,1,0,2,55,50,0,0,1,0,0,0,1,0,0
20,5.87,68.41,77.7,84.7,1,0,0,51,55,0,1,0,0,0,0,0,0,1
23,5.5,86.73,88.39,75.78,4,0,4,64,89,0,0,1,0,0,0,0,1,0
23,8.69,74.74,84.32,94.87,4,1,0,87,83,1,1,0,0,1,0,0,0,0
22,8.53,50.9,78.35,89.59,3,0,3,88,62,1,0,1,1,0,0,0,0,0
20,9.93,80.43,69.86,90.8,1,0,5,55,51,1,0,1,0,0,0,0,1,0
22,7.61,91.52,93.53,65.48,0,1,4,78,77,1,1,0,1,0,0,0,0,0
20,9.13,61.84,72.99,71.17,4,0,3,41,63,0,0,1,0,0,1,0,0,0
24,7.88,61.05,64.96,85.34,1,1,1,48,70,1,0,1,1,0,0,0,0,0
21,9.37,80.44,81.47,68.55,1,1,0,98,77,1,1,0,0,1,0,0,0,0
21,8.61,90.9,84.61,74.7,2,1,5,83,75,1,1,0,0,0,0,1,0,0
21,8.21,62.48,69.92,82.33,1,0,1,52,100,1,0,1,0,0,1,0,0,0
22,7.83,96.61,51.41,71.89,4,1,2,53,95,0,0,1,0,0,0,0,0,1
24,8.61,96.37,54.71,89.65,3,0,1,51,40,0,0,1,0,0,0,0,1,0
20,7.1,60.03,92.28,55.81,1,0,0,74,65,0,0,1,0,1,0,0,0,0
23,5.48,63.19,52.83,85.9,0,0,2,61,56,0,0,1,0,0,1,0,0,0
20,5.2,85.03,79.6,57.26,4,0,3,60,75,0,1,0,0,0,1,0,0,0
23,7.4,97.59,59.19,96.89,3,1,5,87,56,1,1,0,0,1,0,0,0,0
20,8.0,85.49,61.45,65.7,3,0,2,89,76,0,0,1,0,0,0,0,0,1
24,5.39,72.25,63.67,89.77,4,1,0,96,66,0,0,1,0,0,0,0,0,1
23,6.43,58.45,51.91,76.07,3,0,4,42,64,0,0,1,0,0,0,1,0,0
22,6.61,73.05,58.86,54.55,0,1,2,61,69,0,0,1,1,0,0,0,0,0
20,7.81,80.34,82.52,79.13,1,1,3,48,80,1,1,0,0,0,0,0,0,1
20,6.39,66.55,74.94,95.61,4,1,2,86,64,0,0,1,0,0,0,1,0,0
23,5.48,75.51,89.87,57.86,1,1,5,79,77,1,0,1,1,0,0,0,0,0
22,5.82,56.51,53.06,66.07,1,1,1,81,71,0,1,0,0,0,1,0,0,0
22,5.87,72.61,94.44,71.96,3,0,4,92,51,0,0,1,0,1,0,0,0,0
24,9.21,54.54,99.82,63.75,4,1,0,93,88,1,1,0,0,0,0,0,0,1
22,6.42,52.45,50.79,97.19,1,0,4,42,97,0,0,1,0,0,0,1,0,0
22,8.57,92.86,98.38,68.88,2,1,1,70,60,1,1,0,0,0,1,0,0,0
22,7.84,60.25,61.79,82.9,0,0,4,76,81,1,1,0,0,0,0,0,0,1
21,9.89,78.76,84.63,61.2,3,0,1,45,73,1,1,0,0,0,0,0,1,0
24,6.36,57.45,64.62,60.99,4,0,5,53,99,0,1,0,0,0,1,0,0,0
20,5.79,63.13,76.09,58.79,4,1,2,58,40,0,0,1,0,0,0,0,0,1
23,5.26,68.07,75.52,71.74,3,1,0,97,52,0,0,1,0,0,1,0,0,0
20,6.2,57.18,68.06,76.64,1,1,1,57,92,0,1,0,0,1,0,0,0,0
24,8.42,52.3,85.88,50.54,3,0,1,97,60,0,1,0,0,1,0,0,0,0
23,5.43,93.86,79.98,91.65,4,0,2,96,40,0,0,1,0,1,0,0,0,0
24,6.22,50.59,75.41,75.64,2,0,1,46,52,0,0,1,1,0,0,0,0,0
22,9.28,53.07,99.14,57.86,1,1,0,75,70,1,0,1,0,0,0,0,1,0
23,7.91,90.25,97.0,53.36,3,0,3,68,100,1,0,1,0,1,0,0,0,0
22,5.35,64.1,97.77,53.16,4,0,4,42,62,0,0,1,0,0,0,0,1,0
20,5.24,86.14,94.07,62.88,4,1,5,52,42,0,1,0,0,1,0,0,0,0
20,5.31,57.31,62.76,74.96,4,1,5,75,50,0,0,1,1,0,0,0,0,0
23,9.71,61.86,67.5,93.01,2,0,1,80,68,1,0,1,0,0,1,0,0,0
23,9.25,78.64,61.55,95.15,1,1,4,64,93,1,1,0,0,0,0,0,0,1
24,9.22,99.43,99.31,91.62,3,0,5,67,87,1,1,0,0,0,0,0,0,1
24,9.62,53.67,57.63,66.43,1,0,4,77,57,1,1,0,0,1,0,0,0,0
22,7.53,70.03,68.33,65.33,4,0,5,50,64,0,1,0,0,0,0,0,0,1
23,6.24,52.15,59.95,99.37,2,0,3,99,73,0,0,1,0,1,0,0,0,0
