Student_ID,Age,Gender,Department,CGPA,Attendance,10th_Percentage,12th_Percentage,Backlogs,Internship,Projects,Communication_Score,Aptitude_Score,Placement_Status,Package_LPA
1050,23,Female,ECE,5.61,80.72,50.72,97.77,1,Yes,4,80,49,Not Placed,0.0
1051,23,Female,ECE,7.83,76.41,87.54,77.96,0,Yes,0,100,74,Placed,10.86
1052,23,Male,EEE,6.35,68.94,75.29,87.39,3,Yes,4,40,66,Not Placed,0.0
1053,23,Male,EEE,6.96,69.39,95.13,63.76,0,Yes,2,40,100,Placed,14.86
1054,24,Female,EEE,7.0,77.77,78.81,83.98,1,No,2,48,82,Not Placed,0.0
1055,22,Male,ECE,5.89,57.06,72.33,85.31,4,No,4,50,40,Not Placed,0.0
1056,20,Male,IT,5.01,69.36,83.29,92.42,0,No,3,55,94,Not Placed,0.0
1057,23,Male,ECE,9.27,72.35,91.68,76.82,2,No,1,68,67,Placed,5.12
1058,21,Female,CSE,8.58,99.26,64.12,82.45,0,No,4,75,73,Placed,3.44
1059,23,Female,IT,8.45,67.57,55.38,60.15,4,Yes,2,54,87,Not Placed,0.0
1060,21,Male,EEE,7.73,82.23,71.65,86.84,1,Yes,3,98,42,Placed,5.97
1061,21,Female,CE,8.5,56.87,60.73,91.92,0,No,5,78,99,Placed,7.76
1062,23,Female,CE,9.68,53.27,71.48,79.69,1,Yes,0,41,88,Placed,14.83
1063,24,Female,ME,8.33,93.58,99.55,55.78,3,Yes,5,49,42,Placed,7.18
1064,21,Female,IT,6.33,86.54,78.71,65.64,2,No,3,88,50,Not Placed,0.0
1065,21,Female,EEE,7.85,65.87,84.68,73.78,4,Yes,3,50,43,Not Placed,0.0
1066,23,Male,IT,7.21,75.23,83.9,83.86,4,Yes,4,69,69,Placed,6.64
1067,21,Female,IT,7.78,56.79,91.04,66.02,1,Yes,3,62,78,Placed,5.92
1068,21,Male,CE,7.59,85.36,97.21,92.01,2,No,0,61,93,Not Placed,0.0
1069,23,Female,ECE,9.29,53.52,82.94,68.59,4,Yes,5,90,71,Placed,5.71
1070,23,Female,CSE,8.26,87.85,73.8,52.14,0,No,4,81,55,Placed,11.62
1071,20,Male,ME,5.94,77.34,65.89,89.7,4,Yes,2,75,56,Not Placed,0.0
1072,24,Male,EEE,5.32,63.94,68.01,82.21,0,No,0,68,50,Not Placed,0.0
1073,24,Female,IT,7.12,93.13,66.72,90.1,4,Yes,4,84,75,Placed,3.31
1074,21,Male,ME,5.08,99.3,66.22,67.44,0,No,4,71,71,Not Placed,0.0
1075,24,Female,IT,6.59,62.72,84.73,50.88,3,No,1,72,96,Not Placed,0.0
1076,21,Male,CE,6.84,90.31,79.39,53.69,1,No,0,78,74,Not Placed,0.0
1077,20,Male,CSE,6.88,87.51,60.1,55.59,3,No,3,48,93,Not Placed,0.0
1078,23,Female,CE,9.9,87.36,98.48,90.26,0,No,0,40,66,Placed,8.23
1079,23,Female,ME,6.52,97.86,71.39,65.07,1,Yes,0,57,87,Not Placed,0.0
1080,23,Female,EEE,6.33,74.33,78.3,99.89,2,No,1,89,73,Not Placed,0.0
1081,24,Male,IT,5.65,83.71,85.13,87.92,0,No,3,87,44,Not Placed,0.0
1082,20,Female,CSE,7.56,91.19,80.68,80.06,4,No,5,61,64,Not Placed,0.0
1083,24,Female,CE,5.77,73.98,65.55,99.18,4,Yes,1,87,67,Not Placed,0.0
1084,24,Female,ME,8.08,74.07,89.89,65.82,2,Yes,1,76,57,Placed,14.97
1085,20,Female,CE,5.78,65.93,55.51,58.28,3,Yes,1,53,42,Not Placed,0.0
1086,20,Female,IT,7.88,89.04,78.45,86.86,0,Yes,0,61,67,Placed,3.62
1087,20,Male,IT,9.13,84.31,63.67,63.9,4,No,5,72,41,Placed,5.11
1088,20,Male,EEE,5.21,72.56,80.79,98.05,1,Yes,1,45,73,Not Placed,0.0
1089,23,Female,CSE,7.1,70.97,60.9,99.4,2,Yes,2,66,61,Not Placed,0.0
1090,22,Male,ECE,7.31,53.63,88.61,96.32,3,No,3,45,61,Not Placed,0.0
1091,22,Female,CE,8.96,50.33,61.38,97.24,3,No,5,94,92,Placed,10.2
1092,20,Male,IT,7.34,76.44,94.52,80.78,1,No,3,83,69,Placed,11.0
1093,22,Female,ME,7.84,70.87,93.08,84.61,1,Yes,5,89,73,Placed,5.56
1094,22,Female,CE,8.96,89.8,68.12,54.71,2,Yes,1,93,87,Placed,4.28
1095,20,Male,EEE,7.8,77.13,69.29,88.15,1,Yes,5,80,40,Placed,10.22
1096,22,Male,EEE,6.79,96.84,85.08,60.1,4,Yes,0,55,68,Not Placed,0.0
1097,24,Male,IT,5.43,59.81,54.52,92.02,3,Yes,5,86,100,Not Placed,0.0
1098,21,Female,IT,8.65,99.51,54.05,98.08,1,Yes,4,96,58,Placed,8.31
1099,21,Female,IT,9.36,64.9,56.82,60.62,0,No,4,41,58,Placed,9.94
1100,20,Male,ECE,9.85,82.12,78.12,53.9,1,Yes,0,76,80,Placed,8.63
1101,23,Female,IT,9.63,75.09,57.45,74.19,3,Yes,1,68,91,Placed,4.7
1102,20,Male,CE,8.99,67.98,63.88,89.58,4,No,1,62,80,Not Placed,0.0
1103,23,Male,CE,8.22,56.97,82.35,88.53,1,No,2,60,68,Placed,9.4
1104,21,Female,CSE,8.91,56.74,50.78,84.84,4,Yes,4,52,82,Placed,7.79
1105,20,Male,ME,7.16,85.58,59.01,91.03,0,Yes,4,90,72,Placed,9.72
1106,24,Male,IT,7.97,68.88,96.5,58.75,3,No,3,40,90,Not Placed,0.0
1107,22,Male,CE,6.74,98.06,83.18,82.6,2,Yes,1,68,56,Not Placed,0.0
1108,23,Male,CE,6.63,66.28,65.28,80.28,3,No,0,87,77,Not Placed,0.0
1109,22,Male,CE,8.78,99.18,52.27,57.67,2,No,1,46,40,Not Placed,0.0
1110,22,Male,ECE,7.27,60.27,79.3,70.72,2,Yes,1,70,89,Not Placed,0.0
1111,20,Female,ME,6.06,55.14,61.14,92.63,3,No,2,84,80,Not Placed,0.0
1112,22,Male,EEE,6.01,65.63,98.01,98.59,2,No,5,95,98,Placed,13.34
1113,24,Male,CE,9.3,94.28,84.35,83.27,4,No,5,61,72,Placed,13.17
1114,22,Male,IT,8.39,76.09,98.71,96.1,0,Yes,0,55,75,Placed,8.93
1115,20,Male,CE,7.73,56.78,92.44,56.6,1,No,2,67,61,Not Placed,0.0
1116,24,Female,ME,7.0,60.12,74.15,98.75,2,No,2,83,57,Not Placed,0.0
1117,21,Female,EEE,7.15,65.56,83.48,51.68,2,No,2,78,56,Not Placed,0.0
1118,22,Male,ECE,5.29,79.51,90.61,76.36,3,No,5,64,71,Not Placed,0.0
1119,20,Female,CSE,7.27,66.62,78.91,64.55,4,Yes,2,53,59,Not Placed,0.0
1120,21,Female,IT,8.98,87.35,53.07,90.7,1,Yes,1,89,90,Placed,10.58
1121,21,Female,CSE,6.94,80.81,73.52,60.88,2,Yes,5,60,94,Placed,7.48
1122,23,Male,ECE,6.92,93.69,56.53,50.58,4,Yes,5,58,62,Not Placed,0.0
1123,24,Male,ME,5.08,75.05,85.74,70.73,1,Yes,3,99,67,Not Placed,0.0
1124,22,Male,ME,7.29,66.56,84.03,53.21,3,Yes,1,52,85,Not Placed,0.0
1125,20,Female,ECE,5.13,99.81,99.65,64.5,2,Yes,2,41,65,Not Placed,0.0
1126,23,Male,CE,7.85,67.78,81.44,82.19,3,No,2,90,98,Not Placed,0.0
1127,24,Female,ECE,7.53,71.43,90.01,64.74,3,No,3,75,46,Not Placed,0.0
1128,23,Male,IT,9.2,90.46,63.41,62.29,2,No,4,53,80,Placed,11.98
1129,24,Male,EEE,7.91,54.43,67.0,57.77,4,No,0,73,96,Not Placed,0.0
1130,24,Female,CSE,6.62,69.32,95.85,56.76,4,Yes,2,57,59,Not Placed,0.0
1131,22,Male,CSE,7.58,54.29,87.76,76.29,3,No,2,63,80,Not Placed,0.0
1132,24,Male,ME,8.5,56.97,82.76,84.08,3,No,1,69,86,Not Placed,0.0
1133,23,Female,CE,5.47,50.23,62.7,72.64,0,No,2,90,50,Not Placed,0.0
1134,24,Female,ME,8.11,50.48,84.93,56.18,1,Yes,2,58,46,Placed,11.78
1135,22,Female,IT,9.58,69.01,94.34,82.39,3,No,0,75,77,Placed,9.6
1136,22,Female,ECE,6.5,90.46,61.54,77.86,3,No,1,98,66,Not Placed,0.0
1137,23,Female,CSE,8.13,79.35,85.31,69.06,1,No,4,60,48,Placed,4.9
1138,21,Female,IT,9.11,81.75,69.68,66.5,2,Yes,2,58,43,Placed,12.44
1139,21,Male,ME,7.56,75.96,55.94,59.16,4,No,2,93,88,Not Placed,0.0
1140,24,Male,ME,8.59,90.99,88.17,57.31,2,No,4,65,77,Placed,10.44
1141,20,Male,CSE,6.56,94.02,58.36,66.94,1,No,3,74,68,Not Placed,0.0
1142,24,Male,ME,6.53,92.49,62.64,52.08,1,No,4,79,88,Placed,6.86
1143,23,Female,CE,8.34,90.61,89.15,71.83,0,Yes,4,43,65,Placed,10.79
1144,23,Female,ME,8.53,59.14,87.11,80.08,0,Yes,1,60,64,Placed,6.29
1145,23,Female,EEE,9.69,79.69,62.71,97.08,4,Yes,5,42,53,Placed,13.56
1146,23,Male,ECE,6.12,79.11,97.05,81.29,3,Yes,4,44,76,Not Placed,0.0
1147,23,Female,ME,7.34,76.4,60.76,81.2,1,Yes,1,82,89,Placed,13.44
1148,22,Male,EEE,6.25,74.04,99.68,68.72,0,Yes,5,68,67,Placed,7.74
1149,21,Female,IT,5.4,54.46,86.89,56.67,2,Yes,4,94,47,Not Placed,0.0
1150,23,Female,ME,7.02,55.11,69.63,72.35,0,No,2,58,81,Not Placed,0.0
1151,20,Male,CE,6.87,95.11,56.52,79.93,2,No,2,90,50,Not Placed,0.0
1152,20,Male,IT,6.35,81.51,66.03,86.2,0,Yes,5,56,93,Placed,8.38
1153,20,Male,ME,6.48,63.12,59.69,91.3,2,Yes,3,73,100,Placed,11.17
1154,20,Female,CSE,6.8,63.97,81.09,62.8,0,No,5,59,74,Placed,11.41
1155,22,Female,EEE,9.94,80.51,67.84,62.06,0,No,4,67,98,Placed,3.33
1156,20,Female,EEE,8.91,70.35,64.75,78.26,4,Yes,0,48,70,Not Placed,0.0
1157,23,Male,CSE,5.36,72.07,87.86,78.3,3,No,4,42,73,Not Placed,0.0
1158,24,Male,ECE,9.36,53.03,61.53,60.9,1,Yes,5,49,97,Placed,9.68
1159,20,Female,CE,8.17,56.94,79.34,79.37,3,No,0,60,98,Not Placed,0.0
1160,22,Female,EEE,9.45,69.67,59.73,67.29,4,No,5,80,85,Placed,8.05
1161,22,Male,IT,6.71,84.98,85.74,81.97,2,Yes,4,91,75,Placed,11.52
1162,20,Male,CE,7.32,52.4,81.26,64.55,3,No,1,43,56,Not Placed,0.0
1163,24,Female,EEE,9.48,66.73,89.91,79.61,1,Yes,2,61,88,Placed,7.65
1164,20,Male,ECE,6.36,84.75,53.42,88.42,1,No,0,46,60,Not Placed,0.0
1165,22,Male,IT,9.58,89.6,60.51,99.01,2,No,0,51,65,Placed,6.1
1166,21,Male,CE,9.14,59.51,57.72,95.55,1,No,4,50,80,Placed,12.98
1167,23,Male,IT,9.9,86.57,59.53,75.18,4,Yes,2,61,67,Placed,10.32
1168,22,Female,CSE,6.62,97.77,55.15,74.42,3,No,3,68,92,Not Placed,0.0
1169,20,Female,ME,6.18,95.34,78.1,71.89,1,No,0,100,61,Not Placed,0.0
1170,23,Female,CSE,6.65,89.47,79.67,51.39,3,No,2,100,97,Not Placed,0.0
1171,20,Male,CE,9.77,85.62,92.17,58.3,0,Yes,2,66,80,Placed,8.15
1172,20,Male,ME,6.67,61.76,70.89,52.96,3,Yes,0,86,42,Not Placed,0.0
1173,21,Male,CSE,7.83,81.7,76.62,84.82,2,No,1,59,67,Not Placed,0.0
1174,23,Male,ME,7.02,82.16,99.57,70.66,4,No,5,53,75,Not Placed,0.0
1175,23,Female,EEE,6.98,70.34,76.59,53.19,1,Yes,1,46,41,Not Placed,0.0
1176,21,Male,IT,5.97,74.65,78.68,84.53,4,No,4,54,85,Not Placed,0.0
1177,22,Male,ME,7.69,84.7,99.8,82.22,3,Yes,5,85,59,Placed,13.65
1178,20,Male,EEE,9.25,97.61,99.71,86.0,1,Yes,5,67,79,Placed,5.1
1179,24,Male,ECE,5.25,64.77,71.2,79.99,4,Yes,4,82,89,Not Placed,0.0
1180,20,Male,CSE,9.45,62.32,81.75,58.08,2,No,2,49,75,Placed,14.86
1181,20,Male,ECE,8.33,80.09,74.04,53.07,0,No,0,90,47,Not Placed,0.0
1182,22,Female,CE,8.08,56.54,86.04,90.86,0,No,1,42,78,Placed,14.85
1183,20,Male,EEE,8.13,79.13,96.92,60.79,2,Yes,2,51,64,Placed,13.43
1184,21,Male,ECE,6.48,54.44,65.48,77.13,0,No,1,52,54,Not Placed,0.0
1185,21,Female,ECE,7.08,74.53,90.94,74.26,2,Yes,0,78,69,Not Placed,0.0
1186,23,Female,EEE,9.0,81.02,82.74,96.05,3,Yes,1,83,86,Placed,3.51
1187,24,Female,IT,6.53,53.51,64.01,77.62,2,Yes,3,93,73,Not Placed,0.0
1188,20,Female,ME,7.35,60.35,89.86,79.0,0,Yes,4,73,43,Placed,10.02
1189,20,Male,CE,5.1,66.77,71.36,65.98,3,No,5,40,96,Not Placed,0.0
1190,22,Male,CE,8.67,68.43,56.02,97.93,2,No,1,77,61,Not Placed,0.0
1191,21,Male,CSE,7.09,83.81,99.67,80.62,2,No,0,64,64,Not Placed,0.0
1192,24,Female,ME,7.63,76.45,71.28,50.25,3,Yes,0,58,48,Not Placed,0.0
1193,23,Female,CSE,5.57,69.11,77.08,77.8,1,Yes,3,64,62,Not Placed,0.0
1194,21,Male,CE,9.96,72.53,90.4,68.19,0,Yes,0,45,78,Placed,9.18
1195,23,Male,ME,6.51,50.65,98.04,51.61,1,Yes,3,84,95,Placed,13.8
1196,22,Female,ECE,8.17,88.53,93.64,71.58,3,No,2,43,89,Not Placed,0.0
1197,22,Male,IT,7.91,52.05,76.25,88.68,3,Yes,1,65,97,Not Placed,0.0
1198,20,Female,ECE,8.93,91.47,77.28,75.19,4,No,0,65,51,Not Placed,0.0
1199,24,Female,IT,6.47,77.05,64.04,81.97,4,Yes,4,65,53,Not Placed,0.0
1200,23,Female,EEE,8.78,76.39,73.14,81.99,3,Yes,1,53,46,Not Placed,0.0
1201,21,Female,CSE,6.91,85.23,97.34,83.55,4,Yes,3,71,70,Not Placed,0.0
1202,22,Female,CSE,7.06,92.98,86.35,69.38,2,No,1,87,45,Not Placed,0.0
1203,20,Male,EEE,8.36,97.13,50.59,68.5,1,Yes,1,67,62,Placed,13.65
1204,20,Female,ME,8.92,77.17,55.83,50.23,3,No,0,100,93,Not Placed,0.0
1205,23,Female,EEE,8.33,57.53,96.19,57.71,2,Yes,4,41,98,Placed,13.0
1206,22,Male,CE,9.5,93.93,92.44,97.54,0,Yes,2,80,58,Placed,12.09
1207,24,Male,EEE,6.43,52.03,74.31,92.12,0,No,4,84,60,Placed,4.94
1208,22,Male,IT,9.5,90.37,80.85,63.76,4,Yes,5,60,58,Placed,10.78
1209,23,Male,CE,5.65,84.02,64.48,70.06,4,Yes,3,85,93,Not Placed,0.0
1210,23,Female,EEE,8.3,95.24,89.64,97.0,2,No,5,53,86,Placed,13.43
1211,22,Female,CSE,7.74,94.87,80.17,62.52,0,Yes,4,76,58,Placed,3.79
1212,23,Male,ECE,7.47,52.66,84.74,76.63,3,No,4,41,83,Not Placed,0.0
1213,22,Male,IT,6.55,80.47,68.75,51.1,1,Yes,3,44,73,Not Placed,0.0
1214,21,Female,IT,7.52,56.23,71.52,80.99,4,Yes,4,77,82,Not Placed,0.0
1215,22,Male,ME,5.81,53.92,60.38,96.5,2,Yes,2,41,52,Not Placed,0.0
1216,22,Male,ECE,6.85,72.41,97.4,94.24,4,No,1,40,75,Not Placed,0.0
1217,23,Female,IT,5.49,54.88,97.33,75.1,2,No,2,87,64,Not Placed,0.0
1218,23,Male,EEE,7.86,86.4,90.89,82.48,0,No,5,61,72,Placed,12.24
1219,20,Male,IT,5.48,98.45,96.78,78.49,4,No,1,80,95,Not Placed,0.0
1220,20,Male,IT,5.8,78.48,83.27,53.35,2,Yes,1,64,60,Not Placed,0.0
1221,21,Male,IT,5.43,61.76,61.73,57.94,2,Yes,4,85,73,Not Placed,0.0
1222,20,Female,ME,6.91,92.16,88.01,98.19,4,Yes,1,69,85,Not Placed,0.0
1223,22,Male,IT,9.21,92.66,66.26,62.8,1,No,3,48,64,Placed,4.23
1224,23,Male,IT,9.53,86.64,72.02,69.22,3,No,2,100,57,Placed,4.89
1225,20,Female,ME,5.36,80.76,63.72,75.45,0,Yes,1,76,82,Not Placed,0.0
1226,20,Female,CE,8.17,93.39,71.18,98.96,4,Yes,4,86,50,Placed,8.02
1227,21,Male,ECE,8.42,58.16,83.97,84.5,4,No,4,49,58,Not Placed,0.0
1228,21,Male,CE,7.67,96.58,55.53,81.48,1,No,4,54,88,Placed,6.56
1229,22,Female,CSE,8.33,97.36,55.26,76.22,0,No,0,88,88,Placed,9.73
1230,23,Male,ME,6.17,93.6,84.19,85.03,4,Yes,2,42,73,Not Placed,0.0
1231,21,Male,ME,7.45,62.53,88.98,83.2,1,No,4,47,41,Placed,4.93
1232,20,Female,IT,6.95,92.91,77.57,95.14,3,No,3,64,69,Not Placed,0.0
1233,23,Female,IT,5.45,74.88,59.08,77.09,2,Yes,4,75,84,Not Placed,0.0
1234,23,Female,CSE,8.13,79.75,71.54,71.08,3,No,0,82,77,Not Placed,0.0
1235,20,Female,IT,7.48,92.03,87.91,90.36,3,Yes,2,99,54,Placed,11.09
1236,21,Female,EEE,6.38,51.48,84.29,89.99,3,Yes,1,90,50,Not Placed,0.0
1237,20,Male,IT,7.37,68.15,55.49,58.49,3,No,2,85,63,Not Placed,0.0
1238,23,Female,IT,8.88,90.78,98.46,61.84,2,No,1,89,99,Placed,7.87
1239,24,Male,EEE,9.01,90.7,61.17,97.93,0,Yes,1,60,43,Placed,7.2
1240,24,Male,CSE,8.25,92.43,61.02,72.21,0,Yes,4,73,58,Placed,13.09
1241,22,Female,EEE,7.34,58.46,72.99,75.98,1,No,5,66,68,Placed,14.35
1242,20,Female,ME,7.88,85.29,66.36,65.51,1,Yes,3,48,53,Placed,9.58
1243,20,Male,EEE,6.93,57.33,99.2,74.05,4,Yes,3,49,89,Not Placed,0.0
1244,22,Female,ECE,5.63,89.25,53.82,87.17,3,Yes,5,66,56,Not Placed,0.0
1245,22,Male,ME,6.93,62.26,65.32,74.12,3,No,4,64,47,Not Placed,0.0
1246,22,Male,IT,7.65,86.89,69.14,65.74,2,Yes,0,52,52,Not Placed,0.0
1247,23,Male,ME,7.99,72.75,74.67,54.8,3,No,1,90,62,Not Placed,0.0
1248,20,Female,CSE,9.68,99.31,50.82,96.41,2,Yes,5,43,68,Placed,5.38
1249,23,Female,CSE,8.89,78.99,54.12,93.58,4,No,3,99,86,Placed,5.42
1250,22,Male,EEE,5.76,81.63,62.89,89.57,1,No,2,55,50,Not Placed,0.0
1251,20,Female,ME,5.87,68.41,77.7,84.7,1,No,0,51,55,Not Placed,0.0
1252,23,Male,IT,5.5,86.73,88.39,75.78,4,No,4,64,89,Not Placed,0.0
1253,23,Female,CSE,8.69,74.74,84.32,94.87,4,Yes,0,87,83,Placed,12.16
1254,22,Male,CE,8.53,50.9,78.35,89.59,3,No,3,88,62,Placed,8.73
1255,20,Male,IT,9.93,80.43,69.86,90.8,1,No,5,55,51,Placed,7.85
1256,22,Female,CE,7.61,91.52,93.53,65.48,0,Yes,4,78,77,Placed,7.64
1257,20,Male,ECE,9.13,61.84,72.99,71.17,4,No,3,41,63,Not Placed,0.0
1258,24,Male,CE,7.88,61.05,64.96,85.34,1,Yes,1,48,70,Placed,7.31
1259,21,Female,CSE,9.37,80.44,81.47,68.55,1,Yes,0,98,77,Placed,5.71
1260,21,Female,EEE,8.61,90.9,84.61,74.7,2,Yes,5,83,75,Placed,10.23
1261,21,Male,ECE,8.21,62.48,69.92,82.33,1,No,1,52,100,Placed,7.69
1262,22,Male,ME,7.83,96.61,51.41,71.89,4,Yes,2,53,95,Not Placed,0.0
1263,24,Male,IT,8.61,96.37,54.71,89.65,3,No,1,51,40,Not Placed,0.0
1264,20,Male,CSE,7.1,60.03,92.28,55.81,1,No,0,74,65,Not Placed,0.0
1265,23,Male,ECE,5.48,63.19,52.83,85.9,0,No,2,61,56,Not Placed,0.0
1266,20,Female,ECE,5.2,85.03,79.6,57.26,4,No,3,60,75,Not Placed,0.0
1267,23,Female,CSE,7.4,97.59,59.19,96.89,3,Yes,5,87,56,Placed,3.29
1268,20,Male,ME,8.0,85.49,61.45,65.7,3,No,2,89,76,Not Placed,0.0
1269,24,Male,ME,5.39,72.25,63.67,89.77,4,Yes,0,96,66,Not Placed,0.0
1270,23,Male,EEE,6.43,58.45,51.91,76.07,3,No,4,42,64,Not Placed,0.0
1271,22,Male,CE,6.61,73.05,58.86,54.55,0,Yes,2,61,69,Not Placed,0.0
1272,20,Female,ME,7.81,80.34,82.52,79.13,1,Yes,3,48,80,Placed,3.18
1273,20,Male,EEE,6.39,66.55,74.94,95.61,4,Yes,2,86,64,Not Placed,0.0
1274,23,Male,CE,5.48,75.51,89.87,57.86,1,Yes,5,79,77,Placed,5.79
1275,22,Female,ECE,5.82,56.51,53.06,66.07,1,Yes,1,81,71,Not Placed,0.0
1276,22,Male,CSE,5.87,72.61,94.44,71.96,3,No,4,92,51,Not Placed,0.0
1277,24,Female,ME,9.21,54.54,99.82,63.75,4,Yes,0,93,88,Placed,14.81
1278,22,Male,EEE,6.42,52.45,50.79,97.19,1,No,4,42,97,Not Placed,0.0
1279,22,Female,ECE,8.57,92.86,98.38,68.88,2,Yes,1,70,60,Placed,10.87
1280,22,Female,ME,7.84,60.25,61.79,82.9,0,No,4,76,81,Placed,11.49
1281,21,Female,IT,9.89,78.76,84.63,61.2,3,No,1,45,73,Placed,8.11
1282,24,Female,ECE,6.36,57.45,64.62,60.99,4,No,5,53,99,Not Placed,0.0
1283,20,Male,ME,5.79,63.13,76.09,58.79,4,Yes,2,58,40,Not Placed,0.0
1284,23,Male,ECE,5.26,68.07,75.52,71.74,3,Yes,0,97,52,Not Placed,0.0
1285,20,Female,CSE,6.2,57.18,68.06,76.64,1,Yes,1,57,92,Not Placed,0.0
1286,24,Female,CSE,8.42,52.3,85.88,50.54,3,No,1,97,60,Not Placed,0.0
1287,23,Male,CSE,5.43,93.86,79.98,91.65,4,No,2,96,40,Not Placed,0.0
1288,24,Male,CE,6.22,50.59,75.41,75.64,2,No,1,46,52,Not Placed,0.0
1289,22,Male,IT,9.28,53.07,99.14,57.86,1,Yes,0,75,70,Placed,10.85
1290,23,Male,CSE,7.91,90.25,97.0,53.36,3,No,3,68,100,Placed,7.59
